gene	parent_id	expression_bin	sample_id	expression	target_UMEND_count	median_of_depth_bin	publication_id
SPTB	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48542682717	48	48	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.23878685959	40	40	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.43829285158	8	8	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.22032995488	32	32	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	2.02502879449	1	0	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.07724299893	20	20	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.43829285158	4	4	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.40053792958	44	44	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.59454854955	28	28	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.44890095115	36	36	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.26903314646	16	16	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.48026512205	12	12	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.38956681176	24	24	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.50080205306	48	48	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.50080205306	40	40	S1
CHFR	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	2.07724299893	8	8	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.72683121703	32	32	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	0	1	0	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.55090066465	20	20	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	2.21723071622	4	4	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.64616265716	44	44	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.44360665148	28	28	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.58496250072	36	36	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.62760683813	16	16	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.9855004303	12	12	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.5210507369	24	24	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48542682717	48	48	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.55090066465	40	40	S1
C6orf52	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.66902676551	8	8	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.40053792958	32	32	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	0	1	0	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.748461233	20	20	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.82781902462	4	4	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.50080205306	44	44	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.30451104181	28	28	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.55581615506	36	36	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.41683974191	16	16	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.51096191928	12	12	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.54596836911	24	24	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48026512205	48	48	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.58496250072	40	40	S1
SOCS1	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.79077203786	8	8	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.30451104181	32	32	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.57531233069	1	0	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.40599235968	20	20	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.6182386556	4	4	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.55090066465	44	44	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.58014548442	28	28	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.55090066465	36	36	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.29865831556	16	16	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.26903314646	12	12	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.22032995488	24	24	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48026512205	48	48	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.39506279952	40	40	S1
GABBR1	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.23878685959	8	8	S1
IGHA2	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.53106949273	32	32	S1
