Disease	Eval_ID	gene
embryonal rhabdomyosarcoma	TH_Eval_014	TNNT2
embryonal rhabdomyosarcoma	TH_Eval_014	TNNT3
embryonal rhabdomyosarcoma	TH_Eval_014	TRIL
embryonal rhabdomyosarcoma	TH_Eval_014	UBTD2
embryonal rhabdomyosarcoma	TH_Eval_014	VGLL2
embryonal rhabdomyosarcoma	TH_Eval_014	VMO1
embryonal rhabdomyosarcoma	TH_Eval_014	XAB2
embryonal rhabdomyosarcoma	TH_Eval_014	ZNF579
glioma (astrocytoma)	TH_Eval_015	AC006262.5
glioma (astrocytoma)	TH_Eval_015	AC066694.1
glioma (astrocytoma)	TH_Eval_015	ADORA3
glioma (astrocytoma)	TH_Eval_015	AGK
glioma (astrocytoma)	TH_Eval_015	ALOX15
glioma (astrocytoma)	TH_Eval_015	AP1S2
glioma (astrocytoma)	TH_Eval_015	AP5Z1
glioma (astrocytoma)	TH_Eval_015	ATP1A3
glioma (astrocytoma)	TH_Eval_015	ATP5F1
glioma (astrocytoma)	TH_Eval_015	ATP5J2
glioma (astrocytoma)	TH_Eval_015	ATP6V0B
glioma (astrocytoma)	TH_Eval_015	ATP6V0D1
glioma (astrocytoma)	TH_Eval_015	ATP6V1E1
glioma (astrocytoma)	TH_Eval_015	ATP6V1F
glioma (astrocytoma)	TH_Eval_015	BHMT2
glioma (astrocytoma)	TH_Eval_015	C8orf22
glioma (astrocytoma)	TH_Eval_015	CA14
glioma (astrocytoma)	TH_Eval_015	CAPN3
glioma (astrocytoma)	TH_Eval_015	CCDC28B
glioma (astrocytoma)	TH_Eval_015	CCDC51
glioma (astrocytoma)	TH_Eval_015	CD163
glioma (astrocytoma)	TH_Eval_015	CHCHD3
glioma (astrocytoma)	TH_Eval_015	CNIH3
glioma (astrocytoma)	TH_Eval_015	COA1
glioma (astrocytoma)	TH_Eval_015	COLGALT2
glioma (astrocytoma)	TH_Eval_015	COPRS
glioma (astrocytoma)	TH_Eval_015	COQ10A
glioma (astrocytoma)	TH_Eval_015	CRYGS
glioma (astrocytoma)	TH_Eval_015	CTNS
glioma (astrocytoma)	TH_Eval_015	DDIT3
glioma (astrocytoma)	TH_Eval_015	DENND1A
glioma (astrocytoma)	TH_Eval_015	DENND2A
glioma (astrocytoma)	TH_Eval_015	DHDDS
glioma (astrocytoma)	TH_Eval_015	DLD
glioma (astrocytoma)	TH_Eval_015	DOK5
glioma (astrocytoma)	TH_Eval_015	EGFL6
glioma (astrocytoma)	TH_Eval_015	FAM45A
glioma (astrocytoma)	TH_Eval_015	GDF11
glioma (astrocytoma)	TH_Eval_015	GNS
glioma (astrocytoma)	TH_Eval_015	GPR143
glioma (astrocytoma)	TH_Eval_015	GPR162
glioma (astrocytoma)	TH_Eval_015	GPR34
glioma (astrocytoma)	TH_Eval_015	GSTM5
